Data,Cliques,Impressões,CTR,Posição
2026-01-19,0,0,,
2026-01-20,0,4,0%,7.8
2026-01-21,0,29,0%,20.2
2026-01-22,0,28,0%,15.9
2026-01-23,0,5,0%,8.8
2026-01-24,0,6,0%,5.8
2026-01-25,1,28,3.57%,8
2026-01-26,2,32,6.25%,9.2
2026-01-27,0,39,0%,8.7
2026-01-28,0,34,0%,9.9
2026-01-29,0,29,0%,10.4
2026-01-30,0,29,0%,9.4
2026-01-31,1,50,2%,6.3
2026-02-01,1,30,3.33%,8.7
2026-02-02,0,38,0%,8.8
2026-02-03,1,43,2.33%,8.7
2026-02-04,0,35,0%,8.1
2026-02-05,1,49,2.04%,8.6
2026-02-06,1,39,2.56%,11.3
2026-02-07,0,37,0%,9.1
2026-02-08,0,37,0%,7.1
2026-02-09,0,51,0%,7
2026-02-10,0,29,0%,6.7
2026-02-11,1,45,2.22%,8.8
2026-02-12,1,46,2.17%,6.9
2026-02-13,0,38,0%,10.1
2026-02-14,0,44,0%,7.8
2026-02-15,0,43,0%,9.8
2026-02-16,2,54,3.7%,8.8
2026-02-17,1,65,1.54%,7.3
2026-02-18,1,53,1.89%,10.8
2026-02-19,0,60,0%,7.3
2026-02-20,0,66,0%,6.3
2026-02-21,2,34,5.88%,9.6
2026-02-22,1,47,2.13%,9.7
2026-02-23,2,49,4.08%,6.9
2026-02-24,2,36,5.56%,5.9
2026-02-25,2,39,5.13%,8.2
2026-02-26,0,50,0%,6.4
2026-02-27,1,53,1.89%,10.9
2026-02-28,1,39,2.56%,6
2026-03-01,0,73,0%,6.3
2026-03-02,1,39,2.56%,8.2
2026-03-03,1,48,2.08%,7.5
2026-03-04,1,47,2.13%,8.2
2026-03-05,1,46,2.17%,6.8
2026-03-06,0,43,0%,8.3
2026-03-07,0,43,0%,7.9
2026-03-08,0,35,0%,5.8
2026-03-09,0,41,0%,8.3
