Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
caixa de cozinha para caminhão,"Informational, Commercial",1600,7,0.05,1.00,"Image, Image pack, Video, Video carousel, Related searches, Popular products"
caixa de cozinha caminhao,Informational,1300,6,0.05,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
caixa de cozinha caminhão,"Informational, Transactional",1300,9,0.05,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
caixa para cozinha de caminhao,"Informational, Transactional",1300,6,0.05,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
como cozinhar caixa de leite condensado,Informational,720,28,0.00,0.00,"Image, Video, Short videos, Recipes, Related searches"
caixa de gordura para cozinha,"Informational, Transactional",590,22,0.06,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
como cozinhar leite condensado de caixa,Informational,590,28,0.00,0.00,"Image, Video, Short videos, People also ask, Recipes, Related searches"
caixa cozinha de caminhão,"Informational, Transactional",480,7,0.07,0.95,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
caixa de gordura cozinha,Informational,390,14,0.06,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
cozinhar caixa de leite condensado,Informational,320,30,0.00,0.00,"Image, Video, People also ask, Related searches"
caixa de cozinha,Informational,260,25,0.08,1.00,"Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
como cozinhar o leite condensado de caixa,Informational,260,29,0.00,0.00,"Image, Video, Short videos, People also ask, Recipes, Related searches"
mini caixa de gordura para pia de cozinha,Informational,260,23,0.03,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches, Popular products"
caixa de gordura para pia de cozinha,"Informational, Transactional",210,18,0.03,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
caixa de cozinha para caminhão com geladeira,"Informational, Commercial",170,4,0.06,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
como cozinhar caixa de leite condensado na panela de pressão,Informational,170,22,0.00,0.00,"Image, Video, Short videos, Recipes, Related searches"
caixa de cozinha carreta,"Informational, Commercial",140,2,0.07,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
caixa de cozinha para caminhao,Informational,140,3,0.07,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
como cozinhar a caixa de leite condensado,Informational,140,26,0.00,0.00,"Image, Video, Short videos, Recipes, Related searches"
como desentupir caixa de gordura da cozinha,Informational,140,11,0.56,0.75,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, Related searches"
caixa de cozinha caibi,"Informational, Transactional",110,11,0.05,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches, Popular products"
caixa de cozinha para carreta,Informational,110,3,0.06,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
caixa de gordura cozinha industrial,"Informational, Commercial",110,1,0.13,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
caixa de gordura para cozinha industrial,Informational,110,3,0.13,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
