Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,assistência técnica em geladeiras,conserto de geladeira de caminhao,assistência técnica em geladeiras,onde comprar geladeira para caminhão,Pillar page,,210,22,0.00,0.00,0,Commercial,"Local Pack, Image Pack, Video Carousel, People Also Ask, Site Links, Reviews, Video, Related Searches","0.44,0.36,0.29,0.23,0.54,0.15,0.19,0.15,0.19,0.15,0.19,0.15",,"""getninjas.com.br"":""https://www.getninjas.com.br/assistencia-tecnica/geladeira-e-freezer""
""brastemp.com.br"":""https://www.brastemp.com.br/atendimento/assistencia-tecnica-autorizada""
""assistecjr.com.br"":""https://www.assistecjr.com.br/assistencia-tecnica-de-geladeiras-sp""
""resfriar.com.br"":""https://resfriar.com.br/assistencia-tecnica""
""continentalbrasil.com.br"":""https://www.continentalbrasil.com.br/duvidas-mais-frequentes/contatos-da-assistencia-tecnica""
""cuida.electrolux.com.br"":""https://cuida.electrolux.com.br/""
""cuida.electrolux.com.br"":""https://cuida.electrolux.com.br/encontrar-assistencia""
""refrigeracaogeral.com.br"":""https://refrigeracaogeral.com.br/conserto-de-geladeiras/""
""perfeicao.net"":""https://www.perfeicao.net/""
""assistenciatecnica24hs.com.br"":""https://assistenciatecnica24hs.com.br/""","""getninjas.com.br"":""https://www.getninjas.com.br/assistencia-tecnica/geladeira-e-freezer""
""assistecjr.com.br"":""https://www.assistecjr.com.br/assistencia-tecnica-de-geladeiras-sp""
""brastemp.com.br"":""https://www.brastemp.com.br/atendimento/assistencia-tecnica-autorizada""
""cuida.electrolux.com.br"":""https://cuida.electrolux.com.br/encontrar-assistencia""
""refrigeracaogeral.com.br"":""https://refrigeracaogeral.com.br/conserto-de-geladeiras/""
""assistenciatecnica24hs.com.br"":""https://assistenciatecnica24hs.com.br/""
""resfriar.com.br"":""https://resfriar.com.br/assistencia-tecnica""
""continentalbrasil.com.br"":""https://www.continentalbrasil.com.br/duvidas-mais-frequentes/contatos-da-assistencia-tecnica""
""assistelrs.com.br"":""https://assistelrs.com.br/assistencia-tecnica-de-freezer/""
""rdgeladeira.com.br"":""https://www.rdgeladeira.com.br/"""
br,manutenção de geladeiras perto de mim,conserto de geladeira de caminhao,assistência técnica em geladeiras,onde comprar geladeira para caminhão,Pillar page,,140,33,0.00,0.00,0,Transactional,"Local Pack, Image Pack, Reviews, Video, Image, Related Searches","0.03,0.06,1.00,1.00,0.03",,"""getninjas.com.br"":""https://www.getninjas.com.br/assistencia-tecnica/geladeira-e-freezer""
""brastemp.com.br"":""https://www.brastemp.com.br/atendimento/assistencia-tecnica-autorizada""
""assistecjr.com.br"":""https://www.assistecjr.com.br/assistencia-tecnica-de-geladeiras-sp""
""resfriar.com.br"":""https://resfriar.com.br/assistencia-tecnica""
""continentalbrasil.com.br"":""https://www.continentalbrasil.com.br/duvidas-mais-frequentes/contatos-da-assistencia-tecnica""
""cuida.electrolux.com.br"":""https://cuida.electrolux.com.br/""
""cuida.electrolux.com.br"":""https://cuida.electrolux.com.br/encontrar-assistencia""
""refrigeracaogeral.com.br"":""https://refrigeracaogeral.com.br/conserto-de-geladeiras/""
""perfeicao.net"":""https://www.perfeicao.net/""
""assistenciatecnica24hs.com.br"":""https://assistenciatecnica24hs.com.br/""","""getninjas.com.br"":""https://www.getninjas.com.br/assistencia-tecnica/geladeira-e-freezer""
""brastemp.com.br"":""https://www.brastemp.com.br/atendimento/assistencia-tecnica-autorizada""
""cuida.electrolux.com.br"":""https://cuida.electrolux.com.br/""
""resfriar.com.br"":""https://resfriar.com.br/assistencia-tecnica""
""perfeicao.net"":""https://www.perfeicao.net/""
""assistecjr.com.br"":""https://www.assistecjr.com.br/assistencia-tecnica-de-geladeiras-sp""
""midea.com"":""https://www.midea.com/br/assistencia-tecnica""
""continentalbrasil.com.br"":""https://www.continentalbrasil.com.br/duvidas-mais-frequentes/contatos-da-assistencia-tecnica""
""ce.olx.com.br"":""https://ce.olx.com.br/fortaleza-e-regiao/servicos/conserto-de-geladeira-freezer-bebedouro-1074931068""
""lg.com"":""https://www.lg.com/br/suporte/fale-conosco/localizar-assistencia-tecnica/"""
br,conserto de geladeira de caminhao,geladeira para caminhão,conserto de geladeira de caminhao,geladeira para caminhão,Sub page,,140,31,0.00,0.00,0,Commercial,"Local Pack, Image Pack, People Also Ask, Video, Related Searches","0.66,0.80,0.80,1.00,0.80,0.66,0.33,0.33,0.33,0.66,0.66,0.42",,"""conteudo.elber.ind.br"":""https://conteudo.elber.ind.br/assistencia-tecnica-autorizada""
""resfriar.com.br"":""https://resfriar.com.br/assistencia-tecnica""
""youtube.com"":""https://www.youtube.com/watch?v=2Db57p6qEYU""
""youtube.com"":""https://www.youtube.com/watch?v=xPkkbkmiFdo""
""facebook.com"":""https://www.facebook.com/masterarautomotivo/videos/manuten%C3%A7%C3%A3o-de-geladeiras/307594413638490/""
""facebook.com"":""https://www.facebook.com/100054211541297/videos/conserto-de-geladeiras-caminh%C3%A3o/548565679580519/""
""youtube.com"":""https://www.youtube.com/watch?v=gft8Ar0ag4w""
""lojadomecanico.com.br"":""https://www.lojadomecanico.com.br/buscar/conserto-de-geladeira-limeira""
""ce.olx.com.br"":""https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/pecas-e-acessorios/caminhoes/conserto-de-geladeira-caminhao-1390355564""
""hentautomotivos.com.br"":""https://hentautomotivos.com.br/geladeira""","""youtube.com"":""https://www.youtube.com/watch?v=xPkkbkmiFdo""
""conteudo.elber.ind.br"":""https://conteudo.elber.ind.br/assistencia-tecnica-autorizada""
""facebook.com"":""https://www.facebook.com/masterarautomotivo/videos/manuten%C3%A7%C3%A3o-de-geladeiras/307594413638490/""
""resfriar.com.br"":""https://resfriar.com.br/assistencia-tecnica""
""youtube.com"":""https://www.youtube.com/watch?v=2Db57p6qEYU""
""facebook.com"":""https://www.facebook.com/100054211541297/videos/conserto-de-geladeiras-caminh%C3%A3o/548565679580519/""
""youtube.com"":""https://www.youtube.com/watch?v=gft8Ar0ag4w""
""ce.olx.com.br"":""https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/pecas-e-acessorios/caminhoes/conserto-de-geladeira-caminhao-1390355564""
""hentautomotivos.com.br"":""https://hentautomotivos.com.br/geladeira""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeiras"""
br,conserto de geladeira de caminhão,conserto de geladeira de caminhao,conserto de geladeira de caminhao,geladeira para caminhão,Sub page,,140,33,0.00,0.00,0,Commercial,"Local Pack, Image Pack, Video, Related Searches","0.65,0.65,0.65,0.80,0.34,0.42,0.42,0.34,0.42,0.53,0.65,0.42",,"""conteudo.elber.ind.br"":""https://conteudo.elber.ind.br/assistencia-tecnica-autorizada""
""resfriar.com.br"":""https://resfriar.com.br/assistencia-tecnica""
""youtube.com"":""https://www.youtube.com/watch?v=2Db57p6qEYU""
""youtube.com"":""https://www.youtube.com/watch?v=xPkkbkmiFdo""
""facebook.com"":""https://www.facebook.com/masterarautomotivo/videos/manuten%C3%A7%C3%A3o-de-geladeiras/307594413638490/""
""facebook.com"":""https://www.facebook.com/100054211541297/videos/conserto-de-geladeiras-caminh%C3%A3o/548565679580519/""
""youtube.com"":""https://www.youtube.com/watch?v=gft8Ar0ag4w""
""lojadomecanico.com.br"":""https://www.lojadomecanico.com.br/buscar/conserto-de-geladeira-limeira""
""ce.olx.com.br"":""https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/pecas-e-acessorios/caminhoes/conserto-de-geladeira-caminhao-1390355564""
""hentautomotivos.com.br"":""https://hentautomotivos.com.br/geladeira""","""youtube.com"":""https://www.youtube.com/watch?v=2Db57p6qEYU""
""resfriar.com.br"":""https://resfriar.com.br/assistencia-tecnica""
""conteudo.elber.ind.br"":""https://conteudo.elber.ind.br/assistencia-tecnica-autorizada""
""facebook.com"":""https://www.facebook.com/100054211541297/videos/conserto-de-geladeiras-caminh%C3%A3o/548565679580519/""
""youtube.com"":""https://www.youtube.com/watch?v=xPkkbkmiFdo""
""facebook.com"":""https://www.facebook.com/masterarautomotivo/videos/manuten%C3%A7%C3%A3o-de-geladeiras/307594413638490/""
""lojadomecanico.com.br"":""https://www.lojadomecanico.com.br/buscar/conserto-de-geladeira-limeira""
""youtube.com"":""https://www.youtube.com/watch?v=gft8Ar0ag4w""
""dxcold.com.br"":""https://www.dxcold.com.br/pagina/assistencia-tecnica.html""
""instagram.com"":""https://www.instagram.com/jairorefrig/reel/DE2-nTZJbXZ/"""
br,frigobar para caminhão,frigobar caminhao,frigobar para caminhão,geladeira para caminhão,Sub page,,260,22,0.00,0.00,0,Informational,"Image Pack, People Also Ask, Reviews, Video, Related Searches","1.00,1.00,0.81,0.81,0.65,0.65,0.53,0.65,0.65,0.81,0.81,0.65",,"""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/frigobar-para-caminhao""
""magazineluiza.com.br"":""https://www.magazineluiza.com.br/busca/frigobar+caminhao/""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeiras""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/mini-geladeira-para-caminhao""
""santamagazine.com.br"":""https://www.santamagazine.com.br/geladeira-para-caminhao-elber""
""americanas.com.br"":""https://www.americanas.com.br/busca/frigobar-caminhao""
""queroquero.com.br"":""https://www.queroquero.com.br/frigobar-geladeira-automotiva-profissional-caminhao-65-lts-272233/p""
""inbrageladeiras.mercadoshops.com.br"":""https://inbrageladeiras.mercadoshops.com.br/MLB-2685654506-geladeira-frigobar-caminho-55-litros-quadrivolt-inbra-_JM""
""shopee.com.br"":""https://shopee.com.br/Mini-Geladeira-Port%C3%A1til-19l-Frigobar-Carro-Caminh%C3%A3o-12v-24v-i.1054723238.23196753978""
""casasbahia.com.br"":""https://www.casasbahia.com.br/geladeira-para-caminhao/b""","""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/frigobar-para-caminhao""
""magazineluiza.com.br"":""https://www.magazineluiza.com.br/busca/frigobar+caminhao/""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeiras""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/mini-geladeira-para-caminhao""
""santamagazine.com.br"":""https://www.santamagazine.com.br/geladeira-para-caminhao-elber""
""americanas.com.br"":""https://www.americanas.com.br/busca/frigobar-caminhao""
""queroquero.com.br"":""https://www.queroquero.com.br/frigobar-geladeira-automotiva-profissional-caminhao-65-lts-272233/p""
""inbrageladeiras.mercadoshops.com.br"":""https://inbrageladeiras.mercadoshops.com.br/MLB-2685654506-geladeira-frigobar-caminho-55-litros-quadrivolt-inbra-_JM""
""casasbahia.com.br"":""https://www.casasbahia.com.br/geladeira-para-caminhao/b""
""magazinevoce.com.br"":""https://www.magazinevoce.com.br/magazinegeladeiracertifi/geladeira-frigobar-caminhao-portatil-cab-41-bivolt-12-24v-37-litros-elber/p/adac5ckk58/ed/mggp/"""
br,frigobar caminhao,geladeira para caminhão,frigobar para caminhão,geladeira para caminhão,Sub page,,260,26,0.00,0.00,0,Informational,"People Also Ask, Related Searches","1.00,1.00,0.81,0.81,0.65,0.65,0.53,0.65,0.65,1.00,0.81,0.65",,"""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/frigobar-para-caminhao""
""magazineluiza.com.br"":""https://www.magazineluiza.com.br/busca/frigobar+caminhao/""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeiras""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/mini-geladeira-para-caminhao""
""santamagazine.com.br"":""https://www.santamagazine.com.br/geladeira-para-caminhao-elber""
""americanas.com.br"":""https://www.americanas.com.br/busca/frigobar-caminhao""
""queroquero.com.br"":""https://www.queroquero.com.br/frigobar-geladeira-automotiva-profissional-caminhao-65-lts-272233/p""
""inbrageladeiras.mercadoshops.com.br"":""https://inbrageladeiras.mercadoshops.com.br/MLB-2685654506-geladeira-frigobar-caminho-55-litros-quadrivolt-inbra-_JM""
""shopee.com.br"":""https://shopee.com.br/Mini-Geladeira-Port%C3%A1til-19l-Frigobar-Carro-Caminh%C3%A3o-12v-24v-i.1054723238.23196753978""
""casasbahia.com.br"":""https://www.casasbahia.com.br/geladeira-para-caminhao/b""","""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/frigobar-para-caminhao""
""magazineluiza.com.br"":""https://www.magazineluiza.com.br/busca/frigobar+caminhao/""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeiras""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/mini-geladeira-para-caminhao""
""santamagazine.com.br"":""https://www.santamagazine.com.br/geladeira-para-caminhao-elber""
""americanas.com.br"":""https://www.americanas.com.br/busca/frigobar-caminhao""
""shopee.com.br"":""https://shopee.com.br/Mini-Geladeira-Port%C3%A1til-19l-Frigobar-Carro-Caminh%C3%A3o-12v-24v-i.1054723238.23196753978""
""queroquero.com.br"":""https://www.queroquero.com.br/frigobar-geladeira-automotiva-profissional-caminhao-65-lts-272233/p""
""casasbahia.com.br"":""https://www.casasbahia.com.br/refrigerador-para-caminhao/b""
""inbrageladeiras.mercadoshops.com.br"":""https://inbrageladeiras.mercadoshops.com.br/MLB-2685654506-geladeira-frigobar-caminho-55-litros-quadrivolt-inbra-_JM"""
br,geladeira 12v motorhome usada,geladeira 12 volts para caminhão,geladeira 12v motorhome usada,geladeira 12v para caminhão,Sub page,,140,26,0.00,0.00,0,Informational,"Image Pack, People Also Ask, Reviews, Video, Image, Related Searches","0.43,0.65,0.53,0.43,0.34,0.28,0.43,0.43,0.65,0.43,0.43,0.34",,"""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-motorhome""
""youtube.com"":""https://www.youtube.com/watch?v=B2mtrVm87-M""
""youtube.com"":""https://www.youtube.com/watch?v=3pbudu9smLg""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeira-motorhome-trailer-van-frost-free-153l-12v-resfriar""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/frigobar-12v-para-motorhome""
""olx.com.br"":""https://www.olx.com.br/anuncios/geladeira-12v""
""elber.ind.br"":""https://elber.ind.br/produtos/geladeira-para-motorhome-120-litros/""
""amazon.com.br"":""https://www.amazon.com.br/geladeira-12v/s?k=geladeira+12v""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-usada""
""olx.com.br"":""https://www.olx.com.br/anuncios/frigobar-12v""","""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-usada""
""olx.com.br"":""https://www.olx.com.br/anuncios/geladeira-12v""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-motorhome""
""youtube.com"":""https://www.youtube.com/watch?v=B2mtrVm87-M""
""youtube.com"":""https://www.youtube.com/watch?v=3pbudu9smLg""
""olx.com.br"":""https://www.olx.com.br/anuncios/geladeira-12-volts""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeira-motorhome-trailer-van-frost-free-153l-12v-resfriar""
""shopee.com.br"":""https://shopee.com.br/list/Geladeira/12v""
""enjoei.com.br"":""https://www.enjoei.com.br/geladeira-de-carro/s?q=geladeira+de+carro""
""elber.ind.br"":""https://elber.ind.br/produtos/geladeira-para-motorhome-120-litros/"""
br,frigobar 12v para motorhome,geladeira 12 volts para caminhão,geladeira 12v motorhome usada,geladeira 12v para caminhão,Sub page,,110,26,0.00,0.00,0,Informational,"Reviews, Video, Related Searches","0.28,0.35,0.43,0.43,0.28,0.28,0.43,0.23,0.17,0.23,0.28,0.23",,"""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-motorhome""
""youtube.com"":""https://www.youtube.com/watch?v=B2mtrVm87-M""
""youtube.com"":""https://www.youtube.com/watch?v=3pbudu9smLg""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeira-motorhome-trailer-van-frost-free-153l-12v-resfriar""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/frigobar-12v-para-motorhome""
""olx.com.br"":""https://www.olx.com.br/anuncios/geladeira-12v""
""elber.ind.br"":""https://elber.ind.br/produtos/geladeira-para-motorhome-120-litros/""
""amazon.com.br"":""https://www.amazon.com.br/geladeira-12v/s?k=geladeira+12v""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-usada""
""olx.com.br"":""https://www.olx.com.br/anuncios/frigobar-12v""","""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/frigobar-12v-para-motorhome""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-motorhome""
""elber.ind.br"":""https://elber.ind.br/produtos/geladeira-para-motorhome-120-litros/""
""lojadometic.com.br"":""https://lojadometic.com.br/motorhome/geladeiras-12v-24v""
""youtube.com"":""https://www.youtube.com/watch?v=3pbudu9smLg""
""gelbox.com.br"":""https://www.gelbox.com.br/CategoriaId_3/REFRIGERADORES-1224V.html""
""amazon.com.br"":""https://www.amazon.com.br/geladeira-12v/s?k=geladeira+12v""
""youtube.com"":""https://www.youtube.com/watch?v=B2mtrVm87-M""
""youtube.com"":""https://www.youtube.com/watch?v=L7grO0boDNg""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeira-motorhome-trailer-van-frost-free-153l-12v-resfriar"""
br,frigobar 12v para motorhome usado,geladeira 12 volts para caminhão,geladeira 12v motorhome usada,geladeira 12v para caminhão,Sub page,,90,24,0.00,0.00,0,Informational,"Reviews, Video, Image, Related Searches","0.52,0.66,0.42,0.52,0.42,0.33,0.33,0.33,0.23,0.42,0.33,0.33",,"""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-motorhome""
""youtube.com"":""https://www.youtube.com/watch?v=B2mtrVm87-M""
""youtube.com"":""https://www.youtube.com/watch?v=3pbudu9smLg""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeira-motorhome-trailer-van-frost-free-153l-12v-resfriar""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/frigobar-12v-para-motorhome""
""olx.com.br"":""https://www.olx.com.br/anuncios/geladeira-12v""
""elber.ind.br"":""https://elber.ind.br/produtos/geladeira-para-motorhome-120-litros/""
""amazon.com.br"":""https://www.amazon.com.br/geladeira-12v/s?k=geladeira+12v""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-usada""
""olx.com.br"":""https://www.olx.com.br/anuncios/frigobar-12v""","""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/frigobar-12v-para-motorhome""
""olx.com.br"":""https://www.olx.com.br/anuncios/frigobar-12v""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-12v-motorhome""
""youtube.com"":""https://www.youtube.com/watch?v=B2mtrVm87-M""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeira-motorhome-trailer-van-frost-free-153l-12v-resfriar""
""shopee.com.br"":""https://shopee.com.br/search?keyword=frigobar%2012v""
""youtube.com"":""https://www.youtube.com/watch?v=3pbudu9smLg""
""amazon.com.br"":""https://www.amazon.com.br/geladeira-12v/s?k=geladeira+12v""
""gelbox.com.br"":""https://www.gelbox.com.br/""
""olx.com.br"":""https://www.olx.com.br/anuncios/geladeira-12v"""
br,geladeira 18 litros,geladeira caminhao interna,geladeira 18 litros,geladeira para caminhão,Sub page,,170,13,0.00,0.00,0,Informational,"Image Pack, People Also Ask, Reviews, Video, Shopping Ads, Related Searches","0.43,0.53,0.43,0.53,0.43,0.43,0.43,0.53,0.65,0.81,0.65,0.65",,"""resfriar.com.br"":""https://resfriar.com.br/produto/geladeira-18-litros-portatil-18-litros""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeira-portatil-caminhao-18-litros-digital-12v-24v-resfriar""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-resfriar-18-litros""
""engevelpecas.com.br"":""https://www.engevelpecas.com.br/geladeiras/geladeira-portatil-18-litros-resfriar-bivolt""
""youtube.com"":""https://www.youtube.com/watch?v=YALS-Kt-6SI""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-resfriar-18-litros-quadrivolt""
""magazineluiza.com.br"":""https://www.magazineluiza.com.br/busca/geladeira+resfriar+18/""
""dxcold.com.br"":""https://www.dxcold.com.br/geladeira-e-freezer-automotivo-18-litros-quadrivolt""
""minicool.com.br"":""https://www.minicool.com.br/mini-geladeira-18-litros-acdc-preta""
""engevelpecas.com.br"":""https://www.engevelpecas.com.br/geladeiras/copia-geladeira-portatil-18-litros-resfriar-quadrivolt""","""resfriar.com.br"":""https://resfriar.com.br/produto/geladeira-18-litros-portatil-18-litros""
""mundodocaminhao.com.br"":""https://www.mundodocaminhao.com.br/geladeira-portatil-caminhao-18-litros-digital-12v-24v-resfriar""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-resfriar-18-litros""
""dxcold.com.br"":""https://www.dxcold.com.br/geladeira-e-freezer-automotivo-18-litros-quadrivolt""
""engevelpecas.com.br"":""https://www.engevelpecas.com.br/geladeiras/geladeira-portatil-18-litros-resfriar-bivolt""
""minicool.com.br"":""https://www.minicool.com.br/mini-geladeira-18-litros-acdc-preta""
""youtube.com"":""https://www.youtube.com/watch?v=YALS-Kt-6SI""
""lista.mercadolivre.com.br"":""https://lista.mercadolivre.com.br/geladeira-resfriar-18-litros-quadrivolt""
""frigelar.com.br"":""https://www.frigelar.com.br/freezer-geladeira-portatil-eos-18-litros-dupla-acao-quadrivolt-efc20-110v-220v-12v-24v/p/kit8949""
""magazineluiza.com.br"":""https://www.magazineluiza.com.br/busca/geladeira+resfriar+18/"""
