Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
assistência técnica em geladeira,Commercial,2400,45,0.93,0.50,"Sitelinks, Video, People also ask, Local pack, Related searches"
assistência técnica para geladeira electrolux,Navigational,1300,36,0.74,0.75,"Sitelinks, Image, People also ask, Local pack, Related searches, Ads top, Ads bottom, Ads middle"
assistência técnica de geladeira,Commercial,880,15,0.88,0.61,"Sitelinks, Image, Image pack, Video, Local pack, Related searches"
assistência técnica electrolux geladeira,"Navigational, Transactional",720,48,0.78,0.79,"Sitelinks, Image, Video, Local pack, Related searches, Ads bottom"
assistência técnica geladeira,Commercial,720,35,0.95,0.56,"Sitelinks, Image, Video, Local pack, Related searches"
assistência técnica geladeira brastemp,Navigational,720,32,0.71,0.73,"Sitelinks, People also ask, Local pack, Related searches, Ads bottom"
assistência técnica geladeira electrolux,Navigational,590,39,0.73,0.79,"Sitelinks, Video, Local pack, Related searches"
assistência técnica panasonic geladeira,Commercial,590,31,0.55,0.65,"Sitelinks, Video, People also ask, Local pack, Related searches, Ads bottom"
panasonic geladeira assistência técnica,Commercial,590,35,0.55,0.65,"Sitelinks, Video, Local pack, Related searches"
assistência técnica brastemp geladeira,Navigational,480,49,0.79,0.75,"Sitelinks, Image, Local pack, Related searches, Ads bottom"
assistência técnica geladeira panasonic,Commercial,260,35,0.55,0.65,"Sitelinks, Video, Local pack, Related searches, Ads bottom"
assistência técnica continental geladeira,Commercial,170,7,0.54,0.77,"Video, People also ask, Local pack, Related searches, Ads bottom"
assistência técnica de geladeira perto de mim,Transactional,170,35,0.70,0.66,"Image, Image pack, Video, People also ask, Local pack, Related searches, Ads bottom"
assistência técnica da geladeira continental,Commercial,140,6,0.54,0.77,"Image pack, Video, People also ask, Local pack, Related searches"
assistência técnica de geladeira electrolux,Navigational,140,12,0.69,0.66,"Sitelinks, Image, Image pack, People also ask, Local pack, Related searches, Ads bottom"
assistência técnica em geladeiras,Commercial,140,28,0.84,0.82,"Sitelinks, Video, Video carousel, Local pack, Related searches"
assistência técnica para geladeira,Commercial,110,35,0.84,0.82,"Sitelinks, Image, Video, Video carousel, Local pack, Related searches"
assistência técnica resfriar geladeira,Navigational,110,18,0.40,0.63,"Video, Video carousel, Local pack, Related searches"
iceblue refrigeração conserto de geladeira assistência técnica,,110,,0.55,0.15,
assistência técnica de geladeira brastemp,Navigational,90,33,0.76,0.72,"Sitelinks, Image, Local pack, Related searches, Ads bottom"
assistência técnica de geladeira mais próximo,Commercial,90,34,0.70,0.66,"Sitelinks, Image, Video, Local pack, Related searches"
assistência técnica geladeira consul,,90,,0.64,0.73,
assistência técnica geladeira ge,Informational,90,7,0.79,0.69,"Sitelinks, Image, Knowledge panel, Related searches, Ads bottom"
assistência técnica geladeira perto de mim,Transactional,90,35,0.81,0.60,"Sitelinks, AI Overview, Image, Video, Related searches"
rd geladeira assistência técnica,,90,,0.46,0.10,
assistência técnica geladeira bosch,,70,,0.67,0.62,
assistência técnica geladeira bosch mais próxima,,70,,0.50,0.62,
assistência técnica geladeira electrolux perto de mim,,70,,0.84,0.68,
geladeira electrolux assistência técnica,,70,,0.74,0.76,
assistência técnica consul geladeira,,50,,0.52,0.65,
assistência técnica de geladeira de caminhão,,50,,0.27,0.18,
assistência técnica geladeira samsung,,50,,0.91,0.75,
assistência técnica samsung geladeira,,50,,0.88,0.76,
bh conserto de geladeira assistência técnica de máquina de lavar,,50,,0.00,0.01,
geladeira assistência técnica,,50,,1.14,0.58,
panasonic assistência técnica autorizada geladeira,,50,,0.38,0.55,
assistência técnica bosch geladeira,,40,,0.67,0.62,
assistência técnica geladeira lg,,40,,0.76,0.77,
assistência técnica samsung geladeira side by side,,40,,0.64,0.79,
electrolux geladeira assistência técnica,,40,,0.74,0.76,
eletrogelar assistência técnica conserto de lavadora e geladeira,,40,,0.00,0.02,
geladeira panasonic assistência técnica,,40,,0.51,0.67,
mecon assistência técnica máquina de lavar lava e seca geladeiras,,40,,0.00,0.01,
os guri da geladeira assistência técnica são leopoldo rs,,40,,0.34,0.57,
refrigeração garcia assistência técnica de geladeiras e máquinas,,40,,0.50,0.46,
assistência técnica da geladeira electrolux,,30,,0.75,0.79,
assistência técnica da geladeira panasonic,,30,,0.51,0.60,
assistência técnica de geladeira consul,,30,,0.51,0.84,
assistência técnica de geladeira na zona leste,,30,,0.00,0.00,
assistência técnica de geladeira panasonic,,30,,0.61,0.51,
assistência técnica de geladeiras,,30,,0.80,0.61,
assistência técnica geladeira 24 horas sp,,30,,0.89,0.69,
assistência técnica geladeira continental,,30,,0.55,0.75,
assistência técnica geladeiras,,30,,0.94,0.58,
assistência técnica autorizada electrolux geladeira,,20,,0.71,0.47,
assistência técnica autorizada geladeira electrolux,,20,,0.28,0.61,
assistência técnica autorizada geladeira samsung,,20,,0.37,0.69,
assistência técnica autorizada panasonic geladeira,,20,,0.27,0.40,
assistência técnica autorizada samsung geladeira,,20,,0.55,0.58,
assistência técnica da brastemp geladeira,,20,,0.88,0.90,
assistência técnica da consul geladeira,,20,,0.39,0.80,
assistência técnica da electrolux geladeira,,20,,0.67,0.86,
assistência técnica da geladeira bosch,,20,,1.67,0.89,
assistência técnica da geladeira brastemp,,20,,0.63,0.63,
assistência técnica da geladeira consul,,20,,0.43,0.73,
assistência técnica da geladeira resfriar,,20,,0.31,0.42,
assistência técnica da geladeira samsung,,20,,0.70,0.44,
assistência técnica da panasonic geladeira,,20,,0.43,0.72,
assistência técnica de geladeira 24 horas,,20,,0.46,0.82,
assistência técnica de geladeira elber,,20,,0.39,0.70,
assistência técnica de geladeira em diadema,,20,,0.92,0.86,
assistência técnica de geladeira em guarulhos,,20,,0.57,1.00,
assistência técnica de geladeira em itapecerica da serra,,20,,0.00,0.64,
assistência técnica de geladeira em perdizes,,20,,0.00,0.00,
assistência técnica de geladeira em recife,,20,,0.00,1.00,
assistência técnica de geladeira em santana,,20,,0.00,0.00,
assistência técnica de geladeira na mooca,,20,,0.00,0.00,
assistência técnica de geladeira na vila nova conceição,,20,,0.00,0.00,
assistência técnica de geladeira na vila olímpia,,20,,0.00,0.00,
assistência técnica de geladeira na zona norte,,20,,0.00,0.00,
assistência técnica de geladeira na zona sul,,20,,0.00,0.00,
assistência técnica de geladeira no tatuapé,,20,,0.00,0.00,
assistência técnica de geladeira samsung,,20,,0.66,0.80,
assistência técnica elber geladeiras,,20,,0.39,0.58,
assistência técnica electrolux casa das geladeiras,,20,,0.00,0.33,
assistência técnica em geladeira brastemp,,20,,0.94,0.69,
assistência técnica em geladeira electrolux,,20,,0.81,0.58,
assistência técnica geladeira 24 horas,,20,,0.56,0.58,
assistência técnica geladeira bosch rj,,20,,0.00,0.00,
assistência técnica geladeira brastemp perto de mim,,20,,0.83,0.81,
assistência técnica geladeira elber,,20,,0.44,0.68,
assistência técnica geladeira elber em cuiabá,,20,,0.56,0.44,
assistência técnica geladeira electrolux divinópolis,,20,,0.00,0.36,
assistência técnica geladeira electrolux ribeirão preto,,20,,0.19,0.19,
assistência técnica geladeira electrolux uberlândia,,20,,0.00,0.79,
assistência técnica geladeira expositora,,20,,0.91,0.65,
assistência técnica geladeira ge side by side,,20,,0.78,0.71,
