Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
trilho gaveta geladeira electrolux,Informational,1300,23,0.00,0.00,"Sitelinks, Image pack, Video"
gaveta de geladeira consul,"Informational, Transactional",880,24,0.05,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gaveta geladeira consul,"Informational, Transactional",880,18,0.06,1.00,"Sitelinks, Image pack, Video, People also ask, Popular products, Ads bottom"
gaveta para geladeira brastemp,Transactional,880,25,0.11,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products, Ads top, Ads bottom"
geladeira com gaveta no meio,Informational,880,31,0.17,1.00,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
gaveta da geladeira brastemp,Informational,720,24,0.11,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gaveta da geladeira consul,"Informational, Transactional",720,19,0.06,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products, Ads bottom"
gaveta geladeira brastemp,"Informational, Transactional",720,25,0.11,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gaveta geladeira electrolux,"Informational, Transactional",720,29,0.05,1.00,"Sitelinks, Image pack, Video, People also ask, Popular products"
gaveta para geladeira consul,"Informational, Transactional",720,15,0.06,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gavetas da geladeira consul,"Informational, Transactional",720,27,0.00,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gaveta da geladeira electrolux,"Informational, Transactional",590,23,0.04,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta de geladeira,Informational,590,17,0.06,0.97,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gavetas de geladeira consul,"Informational, Transactional",590,15,0.05,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
geladeira com gaveta,Informational,480,22,0.22,1.00,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
gaveta da geladeira brastemp inverse,Informational,390,21,0.09,1.00,"Image pack, Video, Related searches, Popular products"
gaveta de geladeira brastemp,"Informational, Transactional",390,21,0.09,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products, See results about"
gaveta de geladeira electrolux,"Informational, Transactional",390,25,0.04,1.00,"Sitelinks, Image pack, Related searches, Popular products, Ads bottom"
gaveta geladeira brastemp inverse,"Informational, Transactional",390,24,0.12,1.00,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom"
gaveta para geladeira brastemp inverse,"Informational, Transactional",390,23,0.12,1.00,"Sitelinks, Image pack, Video, People also ask, Popular products, Ads bottom"
gaveta para geladeira electrolux,"Informational, Transactional",390,25,0.05,0.99,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products"
gaveta de geladeira electrolux frost free,Informational,320,29,0.05,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
gaveta para geladeira,Informational,320,20,0.07,1.00,"Sitelinks, Image pack, Video, Related searches, Popular products"
